N1_CODIGO;N1_DESCRICAO;N2_CODIGO;N2_DESCRICAO;N3_CODIGO;N3_DESCRICAO;N1_CONCAT;N2_CONCAT;N3_CONCAT;CODFILIAL
01;FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.001;GESTAO DA FILIAL (1);01.001.001;Gestão da filial;01 - FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.001 - GESTAO DA FILIAL (1);01.001.001 - Gestão da filial;01
01;FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.001;GESTAO DA FILIAL (1);01.001.002;Apoio administrativo;01 - FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.001 - GESTAO DA FILIAL (1);01.001.002 - Apoio administrativo;01
01;FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.002;Vendas;01.002.001;Vendas internas e televendas;01 - FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.002 - Vendas;01.002.001 - Vendas internas e televendas;01
01;FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.002;Vendas;01.002.002;Vendas externas;01 - FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.002 - Vendas;01.002.002 - Vendas externas;01
01;FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.002;Vendas;01.002.003;Serviços (troca de óleo);01 - FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.002 - Vendas;01.002.003 - Serviços (troca de óleo);01
01;FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.003;Logistica;01.003.002;Logistica interna;01 - FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.003 - Logistica;01.003.002 - Logistica interna;01
01;FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.003;Logistica;01.003.003;Logistica externa;01 - FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.003 - Logistica;01.003.003 - Logistica externa;01
01;FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.004;Serviços gerais;01.004.001;Segurança, limpeza, manutenção e conserv;01 - FILIAL 01 - AV. R. DE JANEIRO - F. DE SA;01.004 - Serviços gerais;01.004.001 - Segurança, limpeza, manutenção e conserv;01
02;FILIAL 02 - VENDAS E LOGISTICA BR 324;02.001;GESTAO DA FILIAL (2);02.001.001;Gestão da filial;02 - FILIAL 02 - VENDAS E LOGISTICA BR 324;02.001 - GESTAO DA FILIAL (2);02.001.001 - Gestão da filial;02
02;FILIAL 02 - VENDAS E LOGISTICA BR 324;02.001;GESTAO DA FILIAL (2);02.001.002;Apoio administrativo;02 - FILIAL 02 - VENDAS E LOGISTICA BR 324;02.001 - GESTAO DA FILIAL (2);02.001.002 - Apoio administrativo;02
02;FILIAL 02 - VENDAS E LOGISTICA BR 324;02.002;Vendas;02.002.001;Vendas internas e televendas;02 - FILIAL 02 - VENDAS E LOGISTICA BR 324;02.002 - Vendas;02.002.001 - Vendas internas e televendas;02
02;FILIAL 02 - VENDAS E LOGISTICA BR 324;02.002;Vendas;02.002.002;Ventas externas;02 - FILIAL 02 - VENDAS E LOGISTICA BR 324;02.002 - Vendas;02.002.002 - Ventas externas;02
